001  00295 |Loss: 2.150 | Acc: 30.000% 
001  00296 |Loss: 2.150 | Acc: 30.000% 
001  00297 |Loss: 2.152 | Acc: 30.000% 
001  00298 |Loss: 2.151 | Acc: 30.000% 
001  00299 |Loss: 2.149 | Acc: 30.000% 
001  00300 |Loss: 2.147 | Acc: 30.000% 
001  00301 |Loss: 2.145 | Acc: 30.000% 
001  00302 |Loss: 2.142 | Acc: 30.000% 
001  00303 |Loss: 2.140 | Acc: 30.000% 
001  00304 |Loss: 2.136 | Acc: 30.000% 
001  00305 |Loss: 2.134 | Acc: 30.000% 
001  00306 |Loss: 2.132 | Acc: 30.000% 
001  00307 |Loss: 2.130 | Acc: 30.000% 
001  00308 |Loss: 2.129 | Acc: 30.000% 
001  00309 |Loss: 2.128 | Acc: 30.000% 
001  00310 |Loss: 2.125 | Acc: 30.000% 
001  00311 |Loss: 2.124 | Acc: 30.000% 
001  00312 |Loss: 2.125 | Acc: 30.000% 
001  00313 |Loss: 2.125 | Acc: 30.000% 
001  00314 |Loss: 2.122 | Acc: 30.000% 
001  00315 |Loss: 2.120 | Acc: 30.000% 
001  00316 |Loss: 2.117 | Acc: 30.000% 
001  00317 |Loss: 2.117 | Acc: 30.000% 
001  00318 |Loss: 2.114 | Acc: 30.000% 
001  00319 |Loss: 2.113 | Acc: 30.000% 
001  00320 |Loss: 2.110 | Acc: 31.000% 
001  00321 |Loss: 2.108 | Acc: 31.000% 
001  00322 |Loss: 2.105 | Acc: 31.000% 
001  00323 |Loss: 2.103 | Acc: 31.000% 
001  00324 |Loss: 2.106 | Acc: 31.000% 
001  00325 |Loss: 2.103 | Acc: 31.000% 
001  00326 |Loss: 2.100 | Acc: 31.000% 
001  00327 |Loss: 2.097 | Acc: 31.000% 
001  00328 |Loss: 2.094 | Acc: 31.000% 
001  00329 |Loss: 2.093 | Acc: 31.000% 
001  00330 |Loss: 2.090 | Acc: 31.000% 
001  00331 |Loss: 2.089 | Acc: 31.000% 
001  00332 |Loss: 2.087 | Acc: 31.000% 
001  00333 |Loss: 2.083 | Acc: 31.000% 
001  00334 |Loss: 2.080 | Acc: 31.000% 
001  00335 |Loss: 2.080 | Acc: 31.000% 
001  00336 |Loss: 2.081 | Acc: 31.000% 
001  00337 |Loss: 2.079 | Acc: 31.000% 
001  00338 |Loss: 2.076 | Acc: 31.000% 
001  00339 |Loss: 2.074 | Acc: 31.000% 
001  00340 |Loss: 2.073 | Acc: 31.000% 
001  00341 |Loss: 2.070 | Acc: 31.000% 
001  00342 |Loss: 2.070 | Acc: 31.000% 
001  00343 |Loss: 2.068 | Acc: 31.000% 
001  00344 |Loss: 2.065 | Acc: 32.000% 
001  00345 |Loss: 2.066 | Acc: 31.000% 
001  00346 |Loss: 2.068 | Acc: 32.000% 
001  00347 |Loss: 2.066 | Acc: 32.000% 
001  00348 |Loss: 2.067 | Acc: 32.000% 
001  00349 |Loss: 2.063 | Acc: 32.000% 
001  00350 |Loss: 2.063 | Acc: 32.000% 
001  00351 |Loss: 2.059 | Acc: 32.000% 
001  00352 |Loss: 2.057 | Acc: 32.000% 
001  00353 |Loss: 2.057 | Acc: 32.000% 
001  00354 |Loss: 2.057 | Acc: 32.000% 
001  00355 |Loss: 2.056 | Acc: 32.000% 
001  00356 |Loss: 2.054 | Acc: 32.000% 
001  00357 |Loss: 2.052 | Acc: 32.000% 
001  00358 |Loss: 2.049 | Acc: 32.000% 
001  00359 |Loss: 2.047 | Acc: 32.000% 
001  00360 |Loss: 2.043 | Acc: 32.000% 
001  00361 |Loss: 2.042 | Acc: 32.000% 
001  00362 |Loss: 2.043 | Acc: 32.000% 
001  00363 |Loss: 2.042 | Acc: 32.000% 
001  00364 |Loss: 2.040 | Acc: 32.000% 
001  00365 |Loss: 2.038 | Acc: 32.000% 
001  00366 |Loss: 2.036 | Acc: 32.000% 
001  00367 |Loss: 2.034 | Acc: 32.000% 
001  00368 |Loss: 2.033 | Acc: 32.000% 
001  00369 |Loss: 2.030 | Acc: 32.000% 
001  00370 |Loss: 2.031 | Acc: 32.000% 
001  00371 |Loss: 2.030 | Acc: 32.000% 
001  00372 |Loss: 2.029 | Acc: 32.000% 
001  00373 |Loss: 2.029 | Acc: 32.000% 
001  00374 |Loss: 2.027 | Acc: 32.000% 
001  00375 |Loss: 2.023 | Acc: 32.000% 
001  00376 |Loss: 2.023 | Acc: 32.000% 
001  00377 |Loss: 2.021 | Acc: 32.000% 
001  00378 |Loss: 2.018 | Acc: 32.000% 
001  00379 |Loss: 2.019 | Acc: 32.000% 
001  00380 |Loss: 2.015 | Acc: 32.000% 
001  00381 |Loss: 2.014 | Acc: 32.000% 
001  00382 |Loss: 2.011 | Acc: 32.000% 
001  00383 |Loss: 2.010 | Acc: 33.000% 
001  00384 |Loss: 2.007 | Acc: 33.000% 
001  00385 |Loss: 2.005 | Acc: 33.000% 
001  00386 |Loss: 2.003 | Acc: 33.000% 
001  00387 |Loss: 2.002 | Acc: 33.000% 
001  00388 |Loss: 2.002 | Acc: 33.000% 
001  00389 |Loss: 2.000 | Acc: 33.000% 
001  00390 |Loss: 2.000 | Acc: 33.000% 
001  00391 |Loss: 2.000 | Acc: 32.000% 
001  00392 |Loss: 2.000 | Acc: 32.000% 
001  00393 |Loss: 2.000 | Acc: 32.000% 
001  00394 |Loss: 1.997 | Acc: 33.000% 
001  00395 |Loss: 1.997 | Acc: 33.000% 
001  00396 |Loss: 1.997 | Acc: 32.000% 
001  00397 |Loss: 1.996 | Acc: 32.000% 
001  00398 |Loss: 1.995 | Acc: 32.000% 
001  00399 |Loss: 1.995 | Acc: 32.000% 
001  00400 |Loss: 1.995 | Acc: 32.000% 
001  00401 |Loss: 1.993 | Acc: 32.000% 
001  00402 |Loss: 1.992 | Acc: 32.000% 
001  00403 |Loss: 1.990 | Acc: 32.000% 
001  00404 |Loss: 1.987 | Acc: 32.000% 
001  00405 |Loss: 1.986 | Acc: 32.000% 
001  00406 |Loss: 1.984 | Acc: 32.000% 
001  00407 |Loss: 1.985 | Acc: 32.000% 
001  00408 |Loss: 1.983 | Acc: 32.000% 
001  00409 |Loss: 1.982 | Acc: 32.000% 
001  00410 |Loss: 1.980 | Acc: 32.000% 
001  00411 |Loss: 1.979 | Acc: 32.000% 
001  00412 |Loss: 1.979 | Acc: 32.000% 
001  00413 |Loss: 1.977 | Acc: 33.000% 
001  00414 |Loss: 1.975 | Acc: 33.000% 
001  00415 |Loss: 1.974 | Acc: 33.000% 
001  00416 |Loss: 1.973 | Acc: 33.000% 
001  00417 |Loss: 1.972 | Acc: 33.000% 
001  00418 |Loss: 1.973 | Acc: 33.000% 
001  00419 |Loss: 1.971 | Acc: 33.000% 
001  00420 |Loss: 1.969 | Acc: 33.000% 
